study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp
PRJNA445471,SAMN08792313,SRX3849343,SRR6900282,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/002/SRR6900282/SRR6900282.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/002/SRR6900282
PRJNA445471,SAMN08792312,SRX3849342,SRR6900283,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/003/SRR6900283/SRR6900283.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/003/SRR6900283
PRJNA445471,SAMN08792315,SRX3849341,SRR6900284,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/004/SRR6900284/SRR6900284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/004/SRR6900284/SRR6900284_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/004/SRR6900284
PRJNA445471,SAMN08792314,SRX3849340,SRR6900285,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/005/SRR6900285/SRR6900285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/005/SRR6900285/SRR6900285_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/005/SRR6900285
PRJNA445471,SAMN08792292,SRX3849339,SRR6900286,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/006/SRR6900286/SRR6900286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/006/SRR6900286/SRR6900286_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/006/SRR6900286
PRJNA445471,SAMN08792293,SRX3849338,SRR6900287,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/007/SRR6900287/SRR6900287.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/007/SRR6900287
PRJNA445471,SAMN08792294,SRX3849337,SRR6900288,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/008/SRR6900288/SRR6900288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/008/SRR6900288/SRR6900288_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/008/SRR6900288
PRJNA445471,SAMN08792295,SRX3849336,SRR6900289,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/009/SRR6900289/SRR6900289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/009/SRR6900289/SRR6900289_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/009/SRR6900289
PRJNA445471,SAMN08792296,SRX3849335,SRR6900290,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/000/SRR6900290/SRR6900290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/000/SRR6900290/SRR6900290_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/000/SRR6900290
PRJNA445471,SAMN08792297,SRX3849334,SRR6900291,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/001/SRR6900291/SRR6900291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/001/SRR6900291/SRR6900291_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/001/SRR6900291
PRJNA445471,SAMN08792298,SRX3849333,SRR6900292,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/002/SRR6900292/SRR6900292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/002/SRR6900292/SRR6900292_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/002/SRR6900292
PRJNA445471,SAMN08792299,SRX3849332,SRR6900293,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/003/SRR6900293/SRR6900293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/003/SRR6900293/SRR6900293_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/003/SRR6900293
PRJNA445471,SAMN08792300,SRX3849331,SRR6900294,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/004/SRR6900294/SRR6900294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/004/SRR6900294/SRR6900294_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/004/SRR6900294
PRJNA445471,SAMN08792301,SRX3849330,SRR6900295,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/005/SRR6900295/SRR6900295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/005/SRR6900295/SRR6900295_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/005/SRR6900295
PRJNA445471,SAMN08792306,SRX3849329,SRR6900296,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/006/SRR6900296/SRR6900296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/006/SRR6900296/SRR6900296_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/006/SRR6900296
PRJNA445471,SAMN08792307,SRX3849328,SRR6900297,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/007/SRR6900297/SRR6900297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/007/SRR6900297/SRR6900297_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/007/SRR6900297
PRJNA445471,SAMN08792308,SRX3849327,SRR6900298,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/008/SRR6900298/SRR6900298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/008/SRR6900298/SRR6900298_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/008/SRR6900298
PRJNA445471,SAMN08792309,SRX3849326,SRR6900299,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/009/SRR6900299/SRR6900299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/009/SRR6900299/SRR6900299_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/009/SRR6900299
PRJNA445471,SAMN08792302,SRX3849325,SRR6900300,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/000/SRR6900300/SRR6900300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/000/SRR6900300/SRR6900300_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/000/SRR6900300
PRJNA445471,SAMN08792303,SRX3849324,SRR6900301,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/001/SRR6900301/SRR6900301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/001/SRR6900301/SRR6900301_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/001/SRR6900301
PRJNA445471,SAMN08792304,SRX3849323,SRR6900302,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/002/SRR6900302/SRR6900302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/002/SRR6900302/SRR6900302_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/002/SRR6900302
PRJNA445471,SAMN08792305,SRX3849322,SRR6900303,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/003/SRR6900303/SRR6900303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/003/SRR6900303/SRR6900303_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/003/SRR6900303
PRJNA445471,SAMN08792310,SRX3849321,SRR6900304,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/004/SRR6900304/SRR6900304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/004/SRR6900304/SRR6900304_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/004/SRR6900304
PRJNA445471,SAMN08792311,SRX3849320,SRR6900305,498019,[Candida] auris,ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/005/SRR6900305/SRR6900305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR690/005/SRR6900305/SRR6900305_2.fastq.gz,,ftp.sra.ebi.ac.uk/vol1/srr/SRR690/005/SRR6900305
